campaign_id,sku_id,platform,campaign_name,status,daily_budget,total_spend_30d,impressions_30d,clicks_30d,conversions_30d,cpc,ctr,conversion_rate,roas,revenue_30d,start_date,end_date
CAM_35485,21212,META_ADS,FB_PACK_OF_72_RETRO_SPO_Lookalike,PAUSED,36673.25,854570.36,8567335,218554,2855,3.91,2.55,1.31,0.0,1912.85,2025-11-20,
CAM_69187,21212,AMAZON_ADS,SD_PACK_OF_72_RETRO_SPO_Retarget,ACTIVE,20060.5,527688.25,863555,36858,2409,14.32,4.27,6.54,0.0,1614.03,2025-08-24,
CAM_54484,85123A,AMAZON_ADS,SD_WHITE_HANGING_HEART__Retarget,ACTIVE,7396.06,191133.77,202274,18371,2141,10.4,9.08,11.65,0.03,6530.05,2025-12-03,
CAM_10340,85123A,META_ADS,IG_WHITE_HANGING_HEART__Retarget,ACTIVE,27842.52,702206.25,7548818,117860,2599,5.96,1.56,2.21,0.01,7926.95,2025-12-19,
CAM_35566,85123A,GOOGLE_ADS,Search_WHITE_HANGING_HEART_,ACTIVE,23958.51,603358.11,3594997,90535,3092,6.66,2.52,3.42,0.02,9430.6,2025-12-14,
CAM_24671,84077,AMAZON_ADS,SP_WORLD_WAR_2_GLIDERS_,ACTIVE,14482.75,352834.93,379890,23970,1350,14.72,6.31,5.63,0.0,324.0,2025-10-25,
CAM_87423,84077,META_ADS,FB_WORLD_WAR_2_GLIDERS__Awareness,PAUSED,17039.91,406175.09,2540899,68387,2481,5.94,2.69,3.63,0.0,595.44,2025-09-11,
CAM_49604,84077,GOOGLE_ADS,Display_WORLD_WAR_2_GLIDERS_,ACTIVE,26408.61,663677.83,957681,57440,2760,11.55,6.0,4.8,0.0,662.4,2025-07-30,
CAM_12737,22514,GOOGLE_ADS,Shopping_CHILDS_GARDEN_SPADE_,ACTIVE,522.24,13004.45,47850,1325,37,9.81,2.77,2.79,0.01,82.14,2025-08-31,
CAM_42446,22514,META_ADS,IG_CHILDS_GARDEN_SPADE__Retarget,ACTIVE,325.24,7847.62,46352,2192,35,3.58,4.73,1.6,0.01,77.7,2025-08-26,
CAM_87890,85018D,GOOGLE_ADS,Display_YULETIDE_IMAGES_S/6_,ACTIVE,136.52,3335.97,6861,543,22,6.14,7.91,4.05,0.01,48.18,2025-12-01,
CAM_84469,85018D,AMAZON_ADS,SB_YULETIDE_IMAGES_S/6__Brand,PAUSED,143.68,3371.93,8094,313,33,10.77,3.87,10.52,0.02,72.27,2025-09-27,
CAM_38682,85018D,META_ADS,FB_YULETIDE_IMAGES_S/6__Awareness,ACTIVE,488.66,11573.05,108153,2077,29,5.57,1.92,1.4,0.01,63.51,2025-11-03,
CAM_58275,22627,META_ADS,FB_MINT_KITCHEN_SCALES_Awareness,ACTIVE,362.53,8583.99,198605,2008,47,4.27,1.01,2.34,0.05,445.09,2025-11-07,
CAM_93444,37492A,META_ADS,FB_YELLOW_RED_FLOWER_PI_Lookalike,PAUSED,1106.99,26751.12,200491,3928,96,6.81,1.96,2.44,0.02,409.92,2025-08-28,
CAM_72412,37492A,GOOGLE_ADS,Shopping_YELLOW_RED_FLOWER_PI,PAUSED,1008.05,25318.56,38409,2871,79,8.82,7.47,2.75,0.01,337.33,2025-11-23,
CAM_76253,90208,GOOGLE_ADS,Display_PAIR_OF_ENAMEL_FLOWE,ACTIVE,38.14,927.86,3092,78,4,11.9,2.52,5.09,0.01,10.16,2025-10-16,
CAM_14102,84817,META_ADS,IG_DANISH_ROSE_DECORATI_Retarget,ACTIVE,36.92,890.28,3868,186,6,4.79,4.81,3.21,0.01,12.6,2025-09-28,
CAM_37914,21629,AMAZON_ADS,SD_SQUARE_FLOOR_CUSHION_Retarget,ACTIVE,5.59,151.42,182,18,2,8.41,9.86,10.64,0.17,25.58,2025-10-30,
CAM_78561,21629,GOOGLE_ADS,Shopping_SQUARE_FLOOR_CUSHION,ACTIVE,17.34,463.87,1466,54,2,8.59,3.68,3.65,0.06,25.58,2025-07-27,
