sku_id,product_name,date,units_sold,month,day_of_week,is_weekend
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-01,312,12,Tuesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-02,599,12,Wednesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-03,190,12,Thursday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-04,204,12,Friday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-05,48,12,Saturday,1
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-06,175,12,Sunday,1
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-07,89,12,Monday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-08,103,12,Tuesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-09,213,12,Wednesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-10,308,12,Thursday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-11,305,12,Friday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-13,105,12,Sunday,1
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-14,148,12,Monday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-15,653,12,Tuesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-16,464,12,Wednesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-17,168,12,Thursday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-18,86,12,Friday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-20,72,12,Sunday,1
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-21,264,12,Monday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-22,499,12,Tuesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2009-12-23,1,12,Wednesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2010-01-05,27,1,Tuesday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2010-01-07,636,1,Thursday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2010-01-08,48,1,Friday,0
21212,PACK OF 72 RETRO SPOT CAKE CASES,2010-01-10,60,1,Sunday,1
