sku_id,product_name,date,units_sold,month,day_of_week,is_weekend
SKU110,oversized justin coord set,2024-10-06,2,10,Friday,0
SKU101,Skeleton science embroidery sweatshirt,2024-10-07,6,10,Saturday,1
SKU105,calm trail look,2024-10-07,2,10,Saturday,1
SKU110,oversized justin coord set,2024-10-07,2,10,Saturday,1
SKU101,Skeleton science embroidery sweatshirt,2024-10-08,4,10,Sunday,1
SKU103,Studio Coord Set,2024-10-08,2,10,Sunday,1
SKU105,calm trail look,2024-10-08,2,10,Sunday,1
SKU110,oversized justin coord set,2024-10-08,4,10,Sunday,1
SKU105,calm trail look,2024-10-09,6,10,Monday,0
SKU110,oversized justin coord set,2024-10-09,20,10,Monday,0
SKU105,calm trail look,2024-10-10,2,10,Tuesday,0
SKU110,oversized justin coord set,2024-10-10,10,10,Tuesday,0
SKU103,Studio Coord Set,2024-10-11,2,10,Wednesday,0
SKU105,calm trail look,2024-10-11,2,10,Wednesday,0
SKU107,varsity voyage coord set,2024-10-11,4,10,Wednesday,0
SKU110,oversized justin coord set,2024-10-11,6,10,Wednesday,0
SKU105,calm trail look,2024-10-12,2,10,Thursday,0
SKU101,Skeleton science embroidery sweatshirt,2024-10-13,2,10,Friday,0
SKU103,Studio Coord Set,2024-10-13,2,10,Friday,0
SKU105,calm trail look,2024-10-13,2,10,Friday,0
SKU110,oversized justin coord set,2024-10-13,2,10,Friday,0
SKU104,West Coast Coord Set,2024-10-14,10,10,Saturday,1
SKU105,calm trail look,2024-10-14,4,10,Saturday,1
SKU102,Kross Coord set,2024-10-15,10,10,Sunday,1
SKU105,calm trail look,2024-10-15,4,10,Sunday,1
SKU110,oversized justin coord set,2024-10-15,2,10,Sunday,1
SKU105,calm trail look,2024-10-16,2,10,Monday,0
SKU105,calm trail look,2024-10-17,2,10,Tuesday,0
SKU110,oversized justin coord set,2024-10-17,6,10,Tuesday,0
SKU105,calm trail look,2024-10-18,4,10,Wednesday,0
SKU110,oversized justin coord set,2024-10-18,2,10,Wednesday,0
SKU104,West Coast Coord Set,2024-10-19,2,10,Thursday,0
SKU105,calm trail look,2024-10-19,10,10,Thursday,0
SKU110,oversized justin coord set,2024-10-19,2,10,Thursday,0
SKU104,West Coast Coord Set,2024-10-20,2,10,Friday,0
SKU105,calm trail look,2024-10-20,2,10,Friday,0
SKU110,oversized justin coord set,2024-10-20,10,10,Friday,0
SKU105,calm trail look,2024-10-21,2,10,Saturday,1
SKU110,oversized justin coord set,2024-10-21,6,10,Saturday,1
SKU103,Studio Coord Set,2024-10-22,2,10,Sunday,1
SKU105,calm trail look,2024-10-22,6,10,Sunday,1
SKU110,oversized justin coord set,2024-10-22,20,10,Sunday,1
SKU105,calm trail look,2024-10-23,4,10,Monday,0
SKU106,arctic block tracksuit,2024-10-23,4,10,Monday,0
SKU110,oversized justin coord set,2024-10-23,4,10,Monday,0
SKU105,calm trail look,2024-10-24,2,10,Tuesday,0
SKU105,calm trail look,2024-10-25,2,10,Wednesday,0
SKU110,oversized justin coord set,2024-10-25,2,10,Wednesday,0
SKU105,calm trail look,2024-10-26,2,10,Thursday,0
SKU110,oversized justin coord set,2024-10-26,2,10,Thursday,0
SKU105,calm trail look,2024-10-27,2,10,Friday,0
SKU110,oversized justin coord set,2024-10-27,2,10,Friday,0
SKU102,Kross Coord set,2024-10-28,2,10,Saturday,1
SKU104,West Coast Coord Set,2024-10-28,4,10,Saturday,1
SKU105,calm trail look,2024-10-28,4,10,Saturday,1
SKU110,oversized justin coord set,2024-10-28,2,10,Saturday,1
SKU105,calm trail look,2024-10-29,2,10,Sunday,1
SKU110,oversized justin coord set,2024-10-29,4,10,Sunday,1
SKU102,Kross Coord set,2024-10-30,4,10,Monday,0
SKU103,Studio Coord Set,2024-10-30,2,10,Monday,0
SKU105,calm trail look,2024-10-30,4,10,Monday,0
SKU110,oversized justin coord set,2024-10-30,2,10,Monday,0
SKU105,calm trail look,2024-10-31,2,10,Tuesday,0
SKU107,varsity voyage coord set,2024-10-31,2,10,Tuesday,0
SKU108,elevate scuba tracksuit,2024-10-31,2,10,Tuesday,0
SKU110,oversized justin coord set,2024-10-31,2,10,Tuesday,0
