sku_id,category,product_name,selling_price,cogs,current_stock,lead_time_days,profit_per_unit,loss_per_day,sales_velocity_per_day,days_of_stock_left,risk_level,reorder_qty_suggested,profit_at_risk,impact_score,recommended_action,strategy_mode,seasonal_index_current,seasonal_index_next,peak_month,trough_month,seasonal_trend,seasonality_strength,seasonal_forecast,seasonal_risk_flag,llm_seasonal_insight,llm_seasonal_confidence
SSB500BLK,Medium Moving,"Insulated Bottle (500ml, Matte, Black)",15.0,9.0,120,7,3.042,0.0,3.6884765899240284,32.533756708069994,SAFE,0,365.03999999999996,11.220345786548894,MONITOR,Strategy,0.474,1.0,December,January,RISING,0.0,0.0,False,,0.0
SSB750SLV,Medium Moving,"Insulated Bottle (750ml, Gloss, Silver)",15.0,9.0,90,7,3.042,0.0,2.843602926343092,31.649988529073955,SAFE,0,273.78000000000003,8.650240101935687,MONITOR,Strategy,0.47,1.0,December,January,RISING,0.0,0.0,False,,0.0
PMY3GRN,Slow Moving,"Premium Yoga Mat (3mm, TPE, Green)",15.0,9.0,85,7,3.042,0.0,2.6459016139073457,32.12515520351337,SAFE,0,258.57,8.048832709506145,MONITOR,Strategy,0.47,1.0,December,January,RISING,0.0,0.0,False,,0.0
17575MA,Slow Moving,"Butterfly Ginkgo Decorative Bowl (Metallic, Butterfly Ginkgo)",15.0,9.0,80,7,3.042,0.0,2.636182262715469,30.346915359939448,SAFE,0,243.35999999999996,8.019266443180456,MONITOR,Strategy,0.479,1.0,December,January,RISING,0.0,0.0,False,,0.0
PMY5PRP,Slow Moving,"Premium Yoga Mat (5mm, Natural Rubber, Purple)",15.0,9.0,70,7,3.042,0.0,2.1270447361724076,32.90950999270668,SAFE,0,212.94,6.470470087436464,MONITOR,Strategy,0.449,1.0,December,January,RISING,0.0,0.0,False,,0.0
INV-maple-syrup,Slow Moving,"Organic Maple Syrup (500ml, Amber)",15.0,9.0,50,7,3.042,0.0,1.1997678684587194,41.67472834910344,SAFE,0,152.1,3.6496938558514245,MONITOR,Strategy,0.462,1.0,December,January,RISING,0.0,0.0,False,,0.0
INV-maple-syrup,Slow Moving,"Organic Maple Syrup (1000ml, Dark)",15.0,9.0,30,7,3.042,0.0,1.1997678684587194,25.004837009462065,SAFE,0,91.25999999999999,3.649693855851424,MONITOR,Strategy,0.462,1.0,December,January,RISING,0.0,0.0,False,,0.0
CV25GEO,Slow Moving,"Artisan Ceramic Vase (25cm, Geometric, Blue)",15.0,9.0,45,7,3.042,0.0,1.1688809383346324,38.498360717656944,SAFE,0,136.89,3.5557358144139513,MONITOR,Strategy,0.393,1.0,December,January,RISING,0.0,0.0,False,,0.0
INV-custard-buns,Slow Moving,"Custard Buns with Filling (Medium, Custard)",15.0,9.0,8,7,3.042,0.0,1.0788348771123084,7.4154072784645315,WARNING,9,24.336,3.281815696175642,PLAN_REORDER,Strategy,0.541,1.0,December,January,RISING,0.0,0.0,False,,0.0
INV-custard-buns,Slow Moving,"Custard Buns with Filling (Large, Custard)",15.0,9.0,8,7,3.042,0.0,1.0788348771123084,7.4154072784645315,WARNING,9,24.336,3.281815696175642,PLAN_REORDER,Strategy,0.541,1.0,December,January,RISING,0.0,0.0,False,,0.0
