sku_id,category,product_name,selling_price,cogs,current_stock,lead_time_days,units_sold_last_30_days,platform_fee_percent,platform_fixed_fee,shipping_cost_per_unit,ad_spend_total_last_30_days,discount_applied,effective_selling_price,payment_fee,fee_gst,total_fees,ad_spend_30d_gateway,ad_spend_30d,ad_cost_per_unit,ad_roas,profit_per_unit,units_sold_per_day,loss_per_day,is_loss_maker,strategy_mode,sales_velocity_per_day,safety_stock_multiplier,days_of_stock_left,risk_level,reorder_qty_suggested,profit_at_risk,seasonal_index_current,seasonal_index_next,peak_month,trough_month,seasonal_trend,seasonality_strength,seasonal_forecast,seasonal_risk_flag,llm_seasonal_insight,llm_seasonal_confidence
21212,Fast Moving,PACK OF 72 RETRO SPOT CAKE CASES,0.67,0.4,4824,3,4824,2.0,0.3,0.5,161.15,0.0,0.67,0.3134,0.056412,0.36981200000000003,1382258.6099999999,1382258.6099999999,286.5378544776119,0.0,-287.1376664776119,160.8,46171.7367696,True,balanced,198.0908891373419,1.2,24.352457707711068,SAFE,0,0.0,0.848,0.922,October,December,STABLE,0.953,7283.2,False,,0.0
85123A,Fast Moving,WHITE HANGING HEART T-LIGHT HOLDER,3.05,1.83,4691,3,4691,2.0,0.3,0.5,714.76,0.0,3.05,0.361,0.06498,0.42597999999999997,1496698.13,1496698.13,319.0573715625666,0.02,-318.7633515625666,156.36666666666667,49843.96273933333,True,balanced,233.10324451900712,1.2,20.124130016635174,SAFE,0,0.0,1.219,0.647,November,February,FALLING,0.689,3805.4,False,,0.0
84077,Fast Moving,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.24,0.15,4419,3,4419,2.0,0.3,0.5,53.91,0.0,0.24,0.3048,0.054864,0.35966400000000004,1422687.85,1422687.85,321.9479180810138,0.0,-322.7175820810138,147.3,47536.299840533335,True,balanced,228.30085991734137,1.2,19.356037474409618,SAFE,0,0.0,0.341,0.566,November,January,RISING,0.707,12970.7,False,,0.0
22514,Medium Moving,CHILDS GARDEN SPADE BLUE,2.22,1.33,92,3,92,2.0,0.3,0.5,10.28,0.0,2.22,0.3444,0.06199199999999999,0.406392,20852.07,20852.07,226.6529347826087,0.01,-226.6693267826087,3.066666666666667,695.1192688,True,balanced,3.6330958254386077,1.2,25.322756244364474,SAFE,0,0.0,1.0,1.0,May,September,STABLE,0.7,79.1,False,,0.0
85018D,Medium Moving,YULETIDE IMAGES S/6 PAPER BOXES,2.19,1.31,64,4,64,2.0,0.3,0.5,7.03,0.0,2.19,0.3438,0.061883999999999995,0.405684,18280.949999999997,18280.949999999997,285.63984374999995,0.01,-285.66552774999997,2.1333333333333333,609.4197925333333,True,balanced,16.077882629431627,1.2,3.980623660160559,CRITICAL,0,0.0,1.0,1.0,October,March,STABLE,0.7,87.4,False,,0.0
22627,Medium Moving,MINT KITCHEN SCALES,9.47,5.68,107,3,107,2.0,0.3,0.95,50.82,0.0,9.47,0.4894,0.088092,0.577492,8583.99,8583.99,80.22420560747663,0.05,-77.96169760747664,3.566666666666667,278.0633881333334,True,balanced,4.8164936946872725,1.2,22.2153306497679,SAFE,0,0.0,1.0,1.0,May,December,STABLE,0.7,98.4,False,,0.0
37492A,Slow Moving,YELLOW RED FLOWER PIGGY BANK,4.27,2.56,147,3,147,2.0,0.3,0.5,31.48,0.0,4.27,0.38539999999999996,0.06937199999999999,0.45477199999999995,52069.68,52069.68,354.2155102040816,0.01,-353.46028220408164,4.9,1731.9553828,True,balanced,15.928571428571429,1.2,9.228699551569507,SAFE,0,0.0,1.0,1.0,,,STABLE,0.0,0.0,False,,0.0
90208,Slow Moving,PAIR OF ENAMEL FLOWER CLUSTER SLIDE,2.54,1.52,10,11,8,2.0,0.3,0.205,1.1,0.0,2.54,0.3508,0.06314399999999999,0.413944,927.86,927.86,115.9825,0.01,-115.581444,0.26666666666666666,30.8217184,True,balanced,1.1428571428571428,1.2,8.75,CRITICAL,0,0.0,1.12,0.102,August,February,FALLING,0.7,1.0,False,,0.0
84817,Slow Moving,DANISH ROSE DECORATIVE PLATE,2.1,1.26,10,12,10,2.0,0.3,0.5,1.15,0.0,2.1,0.34199999999999997,0.06155999999999999,0.40356,890.28,890.28,89.02799999999999,0.01,-89.09155999999999,0.3333333333333333,29.69718666666666,True,balanced,7.5,1.2,1.3333333333333333,CRITICAL,0,0.0,1.0,0.5,November,September,FALLING,0.7,6.0,False,,0.0
21629,Slow Moving,SQUARE FLOOR CUSHION VINTAGE PINK,12.79,7.67,10,5,8,2.0,0.3,1.28,5.57,0.0,12.79,0.5558,0.100044,0.655844,615.29,615.29,76.91125,0.08,-73.727094,0.26666666666666666,19.6605584,True,balanced,1.8701570219271235,1.2,5.347144588797892,WARNING,0,0.0,1.806,0.843,January,November,FALLING,0.92,1.7,False,,0.0
