sku_id,category,product_name,selling_price,cogs,current_stock,lead_time_days,profit_per_unit,loss_per_day,sales_velocity_per_day,days_of_stock_left,risk_level,reorder_qty_suggested,profit_at_risk,impact_score,recommended_action,strategy_mode,seasonal_index_current,seasonal_index_next,peak_month,trough_month,seasonal_trend,seasonality_strength,seasonal_forecast,seasonal_risk_flag,llm_seasonal_insight,llm_seasonal_confidence
85123A,Fast Moving,WHITE HANGING HEART T-LIGHT HOLDER,3.05,1.83,4691,3,0.1416516350458321,0.0,233.10324451900712,20.124130016635174,SAFE,0,664.4878199999985,33.01945572060576,MONITOR,Strategy,1.219,0.647,November,February,FALLING,0.689,3805.4,False,,0.0
37492A,Slow Moving,YELLOW RED FLOWER PIGGY BANK,4.27,2.56,147,3,0.5410783401360539,0.0,15.928571428571429,9.228699551569507,SAFE,0,79.53851599999993,8.618604989310002,MONITOR,Strategy,1.0,1.0,,,STABLE,0.0,0.0,False,,0.0
22627,Medium Moving,MINT KITCHEN SCALES,9.47,5.68,107,3,1.7875547289719635,0.0,4.8164936946872725,22.2153306497679,SAFE,0,191.2683560000001,8.609746081001878,MONITOR,Strategy,1.0,1.0,May,December,STABLE,0.0,0.0,False,,0.0
84077,Fast Moving,WORLD WAR 2 GLIDERS ASSTD DESIGNS,0.24,0.15,4419,3,-0.7818635926680244,115.16850720000001,228.30085991734137,19.356037474409618,SAFE,0,0.0,5.950004351472397,PAUSE_ADS_OR_INCREASE_PRICE,Strategy,0.341,0.566,November,January,RISING,0.707,12970.7,False,,0.0
21629,Slow Moving,SQUARE FLOOR CUSHION VINTAGE PINK,12.79,7.67,10,5,2.487905999999999,0.0,1.8701570219271235,5.347144588797892,WARNING,11,24.87905999999999,4.65277487579462,PLAN_REORDER,Strategy,1.806,0.843,January,November,FALLING,0.92,1.7,False,,0.0
21212,Fast Moving,PACK OF 72 RETRO SPOT CAKE CASES,0.67,0.4,4824,3,-0.6332178872305141,101.82143626666667,198.0908891373419,24.352457707711068,SAFE,0,0.0,4.181156476638721,PAUSE_ADS_OR_INCREASE_PRICE,Strategy,0.848,0.922,October,December,STABLE,0.953,7283.2,False,,0.0
85018D,Medium Moving,YULETIDE IMAGES S/6 PAPER BOXES,2.19,1.31,64,4,-0.1355277500000001,0.2891258666666669,16.077882629431627,3.980623660160559,CRITICAL,0,0.0,0.07263330858436513,REVIEW_PRICING,Strategy,1.0,1.0,October,March,STABLE,0.0,0.0,False,,0.0
84817,Slow Moving,DANISH ROSE DECORATIVE PLATE,2.1,1.26,10,12,-0.17855999999999989,0.05951999999999996,7.5,1.3333333333333333,CRITICAL,0,0.0,0.04463999999999997,REVIEW_PRICING,Strategy,1.0,0.5,November,September,FALLING,0.0,0.0,False,,0.0
22514,Medium Moving,CHILDS GARDEN SPADE BLUE,2.22,1.33,92,3,-0.12813113043478247,0.3929354666666663,3.6330958254386077,25.322756244364474,SAFE,0,0.0,0.015517089169711265,REVIEW_PRICING,Strategy,1.0,1.0,May,September,STABLE,0.0,0.0,False,,0.0
90208,Slow Moving,PAIR OF ENAMEL FLOWER CLUSTER SLIDE,2.54,1.52,10,11,-0.03144399999999997,0.00838506666666666,1.1428571428571428,8.75,CRITICAL,0,0.0,0.0009582933333333325,REVIEW_PRICING,Strategy,1.12,0.102,August,February,FALLING,0.0,0.0,False,,0.0
