sku_id,date,units_sold
21212,2009-12-01,312
21212,2009-12-02,599
21212,2009-12-03,190
21212,2009-12-04,204
21212,2009-12-05,48
21212,2009-12-06,175
21212,2009-12-07,89
21212,2009-12-08,103
21212,2009-12-09,213
21212,2009-12-10,308
21212,2009-12-11,305
21212,2009-12-13,105
21212,2009-12-14,148
21212,2009-12-15,653
21212,2009-12-16,464
21212,2009-12-17,168
21212,2009-12-18,86
21212,2009-12-20,72
21212,2009-12-21,264
21212,2009-12-22,499
21212,2009-12-23,1
21212,2010-01-05,27
21212,2010-01-07,636
21212,2010-01-08,48
21212,2010-01-10,60
21212,2010-01-11,64
21212,2010-01-12,247
21212,2010-01-13,7
21212,2010-01-14,31
21212,2010-01-15,48
21212,2010-01-17,108
21212,2010-01-18,331
21212,2010-01-19,68
21212,2010-01-20,513
21212,2010-01-21,57
21212,2010-01-22,125
21212,2010-01-24,109
21212,2010-01-25,51
21212,2010-01-26,799
21212,2010-01-27,243
21212,2010-01-28,168
21212,2010-01-29,73
21212,2010-01-31,111
21212,2010-02-01,33
21212,2010-02-02,240
21212,2010-02-03,26
21212,2010-02-04,187
21212,2010-02-05,75
21212,2010-02-07,413
21212,2010-02-08,151
21212,2010-02-09,99
21212,2010-02-10,33
21212,2010-02-11,78
21212,2010-02-12,315
21212,2010-02-14,229
21212,2010-02-15,96
21212,2010-02-16,112
21212,2010-02-17,368
21212,2010-02-18,198
21212,2010-02-19,31
21212,2010-02-21,76
21212,2010-02-22,330
21212,2010-02-23,216
21212,2010-02-24,53
21212,2010-02-25,709
21212,2010-02-26,4
21212,2010-02-28,195
21212,2010-03-01,385
21212,2010-03-02,56
21212,2010-03-03,338
21212,2010-03-04,360
21212,2010-03-05,124
21212,2010-03-07,56
21212,2010-03-08,77
21212,2010-03-09,96
21212,2010-03-10,324
21212,2010-03-11,28
21212,2010-03-12,31
21212,2010-03-14,133
21212,2010-03-15,83
21212,2010-03-16,180
21212,2010-03-17,600
21212,2010-03-18,220
21212,2010-03-19,157
21212,2010-03-21,62
21212,2010-03-22,145
21212,2010-03-23,3
21212,2010-03-24,101
21212,2010-03-25,156
21212,2010-03-26,338
21212,2010-03-28,137
21212,2010-03-29,157
21212,2010-03-30,187
21212,2010-03-31,109
21212,2010-04-01,106
21212,2010-04-06,864
21212,2010-04-07,534
21212,2010-04-08,201
21212,2010-04-09,96
21212,2010-04-11,29
21212,2010-04-12,48
21212,2010-04-13,480
21212,2010-04-14,264
21212,2010-04-15,120
21212,2010-04-16,360
21212,2010-04-18,28
21212,2010-04-19,148
21212,2010-04-20,110
21212,2010-04-21,79
21212,2010-04-22,302
21212,2010-04-23,76
21212,2010-04-25,77
21212,2010-04-26,443
21212,2010-04-27,242
21212,2010-04-28,340
21212,2010-04-29,277
21212,2010-04-30,141
21212,2010-05-02,29
21212,2010-05-04,320
21212,2010-05-05,53
21212,2010-05-06,135
21212,2010-05-07,245
21212,2010-05-09,208
21212,2010-05-10,96
21212,2010-05-11,464
21212,2010-05-12,169
21212,2010-05-13,121
21212,2010-05-14,26
21212,2010-05-16,36
21212,2010-05-17,108
21212,2010-05-18,121
21212,2010-05-19,78
21212,2010-05-20,364
21212,2010-05-21,28
21212,2010-05-23,240
